population,responder_subjects,nonresponder_subjects,responder_mean_percentage,nonresponder_mean_percentage,effect,standard_error,confidence_interval_lower,confidence_interval_upper,p_value,adjusted_p_value,significant
b_cell,331,325,9.797552613770158,9.996319710875161,-0.19876709710500257,0.14200711856709014,-0.47709593504480846,0.07956174083480333,0.1616037365621844,0.2721730036142515,False
cd8_t_cell,331,325,24.88193159509671,24.94392435752586,-0.061992762429152234,0.20842010295807453,-0.47048865788110833,0.34650313302280383,0.7661295579491136,0.7661295579491136,False
cd4_t_cell,331,325,30.53780834185009,29.90226177625406,0.6355465655960284,0.2226874839159471,0.19908711731292955,1.0720060138791272,0.004317467550239019,0.02158733775119509,True
nk_cell,331,325,14.84094427086041,15.07316621464659,-0.2322219437861819,0.1665812981112897,-0.5587152885822398,0.094271401009876,0.1633038021685509,0.2721730036142515,False
monocyte,331,325,19.941763178422633,20.084327940698326,-0.1425647622756913,0.18931100499716538,-0.5136075139472176,0.22847798939583505,0.45140682324806203,0.5642585290600775,False
